date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:13	11629/11629	---M-Z	200	added ('OK')	text/html	etag:%222d6d-511b6c50a685c%22	http://ashobiz.asia/boot-extended11/ui/ui-37.html	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/ui-37.html	(from )
01:47:14	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202015%2019:47:19%20GMT	http://ashobiz.asia/robots.txt		(from )
01:47:16	106065/106065	---M--	200	added ('OK')	text/css	etag:%2219e51-511b6c60b0c2a%22	http://ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/css/bootstrap.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:17	23739/23739	---M--	200	added ('OK')	text/css	etag:%225cbb-511b6c5c808c8%22	http://ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/css/font-awesome.min.css	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:18	10206/10206	---M--	200	added ('OK')	text/css	etag:%2227de-511b6c8069717%22	http://ashobiz.asia/boot-extended11/ui/css/style-37.css	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/css/style-37.css	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:18	2995/2995	---M--	200	added ('OK')	image/png	etag:%22bb3-511b6e3ea3e5a%22	http://ashobiz.asia/boot-extended11/ui/img/ui-37/trans.png	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/img/ui-37/trans.png	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:21	4266/4266	---M--	200	added ('OK')	application/javascript	etag:%2210aa-511b6ebdd3c5b%22	http://ashobiz.asia/boot-extended11/ui/js/placeholder.js	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/js/placeholder.js	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:21	4377/4377	---M--	200	added ('OK')	application/javascript	etag:%221119-511b6ebf315d3%22	http://ashobiz.asia/boot-extended11/ui/js/respond.min.js	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/js/respond.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:22	2636/2636	---M--	200	added ('OK')	application/javascript	etag:%22a4c-511b6eb5754d7%22	http://ashobiz.asia/boot-extended11/ui/js/html5shiv.js	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/js/html5shiv.js	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
01:47:24	35646/35646	---M--	200	added ('OK')	application/javascript	etag:%228b3e-511b6eb9dc32e%22	http://ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	J:/BootExtend/SLIDING%20STATUS/BUTTON/ashobiz.asia/boot-extended11/ui/js/bootstrap.min.js	(from http://ashobiz.asia/boot-extended11/ui/ui-37.html)
